Equipment ID,Equipment Type,Purchase Date,Last Maintenance Date,Maintenance Status,Equipment Cost (CAD),Usage Hours,Location,Supplier,Warranty Expiry Date,Next Maintenance Due Date,Usage Days Since Last Maintenance,Usage Hours Since Last Maintenance,Time Since Last Maintenance (Days),Maintenance Frequency (Times),Failure History,Condition Rating,Failure Prediction (Target)
EQ00012,Field Marking Equipment,2018-03-19 0:00,2021-06-11 0:00,Needs Repair,10405.43,5769,North Stand,Audio Visual Experts,2017-04-27 0:00,2015-08-26 0:00,238,5713,1178,2,0,4,1
EQ00013,Field Marking Equipment,2018-10-28 0:00,2022-10-01 0:00,Replaced,16369.28,8575,East Stand,Field Systems Ltd.,2019-10-12 0:00,2019-11-23 0:00,352,8436,701,3,0,9,0
EQ00014,Score Display,2020-04-07 0:00,2023-02-21 0:00,Good,44219.89,2890,East Stand,Field Systems Ltd.,2015-10-09 0:00,2015-02-14 0:00,113,2720,558,7,0,9,0
EQ00015,Field Marking Equipment,2017-07-01 0:00,2015-07-22 0:00,Replaced,22646.8,1557,East Stand,Lighting Masters,2016-10-29 0:00,2017-07-03 0:00,60,1444,3329,9,0,9,0
EQ00016,Turf Maintenance Machine,2020-08-18 0:00,2019-07-25 0:00,Under Repair,24128.46,1988,East Stand,Field Systems Ltd.,2016-07-19 0:00,2017-03-19 0:00,75,1807,1865,2,0,1,1
EQ00017,Lighting System,2021-03-29 0:00,2020-09-17 0:00,Good,42541.52,7370,East Stand,Turf Solutions,2017-09-14 0:00,2019-04-13 0:00,300,7208,1445,8,1,8,0
EQ00018,Seats,2015-05-27 0:00,2016-04-05 0:00,Under Repair,40308.26,2932,West Stand,Lighting Masters,2019-10-23 0:00,2019-07-06 0:00,115,2760,3071,8,0,2,1
EQ00019,Seats,2023-09-05 0:00,2015-10-16 0:00,Good,34875.75,9027,Main Field,Field Systems Ltd.,2017-11-17 0:00,2015-01-05 0:00,370,8889,3243,5,0,9,0
EQ00020,Field Marking Equipment,2023-05-02 0:00,2023-05-09 0:00,Under Repair,26188.85,4865,Main Field,Audio Visual Experts,2018-03-06 0:00,2015-03-23 0:00,200,4798,481,6,1,1,1
EQ00021,Lighting System,2022-03-14 0:00,2023-07-23 0:00,Needs Repair,23269.05,5758,West Stand,Turf Solutions,2018-04-19 0:00,2019-10-31 0:00,236,5663,406,1,0,5,0
EQ00022,Goalpost,2023-11-11 0:00,2020-12-16 0:00,Good,44383.5,552,South Stand,Field Systems Ltd.,2018-01-18 0:00,2019-03-27 0:00,17,413,1355,5,0,9,0
EQ00023,Seats,2021-05-27 0:00,2022-03-23 0:00,Good,36052.67,7671,North Stand,Field Systems Ltd.,2015-10-23 0:00,2018-05-18 0:00,314,7544,893,9,0,9,0
EQ00024,Cameras,2017-02-28 0:00,2024-05-01 0:00,Replaced,2983.85,7967,West Stand,Field Systems Ltd.,2015-10-10 0:00,2019-08-25 0:00,328,7883,123,4,0,9,0
EQ00025,Turnstiles,2015-05-06 0:00,2021-04-19 0:00,Good,6159.98,8189,West Stand,Sports Equipment Co.,2015-04-26 0:00,2019-07-25 0:00,334,8023,1231,5,0,9,0
EQ00026,Turf Maintenance Machine,2016-10-02 0:00,2016-06-30 0:00,Replaced,47945,4103,East Stand,Audio Visual Experts,2016-01-09 0:00,2018-05-09 0:00,168,4042,2985,9,1,9,0
EQ00027,Goalpost,2021-11-14 0:00,2023-12-03 0:00,Replaced,47509.27,5064,South Stand,Audio Visual Experts,2018-04-04 0:00,2017-04-21 0:00,208,4992,273,3,0,9,0
EQ00028,Lighting System,2020-08-19 0:00,2021-02-28 0:00,Good,37785.1,677,North Stand,Lighting Masters,2019-06-26 0:00,2017-02-16 0:00,21,510,1281,2,0,9,0
EQ00029,Scoreboard,2023-06-16 0:00,2016-01-16 0:00,Needs Repair,23968.4,7542,North Stand,Goalkeepers Inc.,2017-08-07 0:00,2019-06-13 0:00,307,7365,3151,2,0,4,1
EQ00030,Score Display,2023-11-12 0:00,2022-10-23 0:00,Needs Repair,1485.24,8295,North Stand,Sports Equipment Co.,2019-07-12 0:00,2017-02-21 0:00,340,8160,679,8,0,4,1
EQ00031,Turnstiles,2021-09-11 0:00,2017-05-22 0:00,Needs Repair,49048.16,947,North Stand,Goalkeepers Inc.,2016-04-16 0:00,2017-11-22 0:00,39,938,2659,1,0,4,1
EQ00032,Audio System,2021-02-13 0:00,2019-08-04 0:00,Under Repair,3660.45,5418,East Stand,Field Systems Ltd.,2018-09-23 0:00,2015-03-21 0:00,218,5220,1855,9,0,2,1
EQ00033,Lighting System,2017-01-31 0:00,2018-08-28 0:00,Good,45747.25,3485,Main Field,Sports Equipment Co.,2016-12-01 0:00,2017-12-01 0:00,141,3385,2196,4,0,9,0
EQ00034,Scoreboard,2016-07-01 0:00,2019-12-10 0:00,Needs Repair,45023.12,2126,Main Field,Goalkeepers Inc.,2019-02-03 0:00,2016-08-11 0:00,88,2115,1727,5,0,4,1
EQ00035,Turnstiles,2019-02-05 0:00,2015-05-03 0:00,Needs Repair,21427.43,6274,East Stand,Turf Solutions,2019-10-08 0:00,2018-04-07 0:00,260,6234,3409,8,0,5,0
EQ00036,Goalpost,2023-12-23 0:00,2024-02-11 0:00,Replaced,34363.9,9497,East Stand,Lighting Masters,2016-06-01 0:00,2017-04-07 0:00,394,9449,203,1,0,9,0
EQ00037,Score Display,2023-02-13 0:00,2017-07-06 0:00,Under Repair,26772.37,6763,Main Field,Lighting Masters,2017-08-30 0:00,2018-04-30 0:00,279,6698,2614,3,0,2,1
EQ00038,Scoreboard,2017-07-27 0:00,2024-02-04 0:00,Under Repair,47571.49,6141,West Stand,Turf Solutions,2017-12-17 0:00,2019-07-06 0:00,253,6067,210,6,0,1,1
EQ00039,Audio System,2023-03-05 0:00,2016-03-30 0:00,Good,19411.9,7102,West Stand,Audio Visual Experts,2015-11-05 0:00,2019-03-16 0:00,293,7037,3077,9,1,7,0
EQ00040,Turf Maintenance Machine,2020-12-13 0:00,2019-03-28 0:00,Replaced,30038.89,2298,East Stand,Lighting Masters,2018-09-20 0:00,2015-03-01 0:00,90,2167,1984,4,0,9,0
EQ00041,Score Display,2019-12-14 0:00,2016-12-04 0:00,Replaced,1128.64,539,South Stand,Sports Equipment Co.,2018-12-05 0:00,2017-06-19 0:00,16,380,2828,9,0,9,0
EQ00042,Cameras,2023-11-08 0:00,2020-09-04 0:00,Needs Repair,7604.07,3431,Main Field,Goalkeepers Inc.,2019-06-30 0:00,2019-09-30 0:00,142,3399,1458,1,0,5,0
EQ00043,Scoreboard,2017-04-26 0:00,2016-11-13 0:00,Good,33356.24,6318,East Stand,Goalkeepers Inc.,2019-05-29 0:00,2017-01-06 0:00,263,6314,2849,4,0,7,0
EQ00044,Cameras,2017-04-17 0:00,2022-12-02 0:00,Needs Repair,30758.02,9748,North Stand,Audio Visual Experts,2016-12-05 0:00,2018-06-23 0:00,400,9596,639,1,0,4,1
EQ00045,Lighting System,2023-09-03 0:00,2022-03-16 0:00,Needs Repair,37567.77,1440,East Stand,Lighting Masters,2019-09-04 0:00,2019-02-11 0:00,59,1412,900,4,0,5,0
EQ00046,Turf Maintenance Machine,2018-06-09 0:00,2023-12-26 0:00,Needs Repair,39797.99,8855,North Stand,Turf Solutions,2018-08-10 0:00,2018-01-22 0:00,362,8676,250,6,0,5,0
EQ00047,Audio System,2020-04-30 0:00,2015-09-16 0:00,Under Repair,24165.7,8883,North Stand,Lighting Masters,2017-03-14 0:00,2016-07-16 0:00,364,8738,3273,6,1,1,1
EQ00048,Lighting System,2023-06-15 0:00,2015-12-20 0:00,Replaced,45924.55,1659,West Stand,Sports Equipment Co.,2017-03-17 0:00,2016-09-06 0:00,63,1503,3178,2,1,8,0
EQ00049,Goalpost,2020-01-27 0:00,2021-02-06 0:00,Replaced,12358.81,6641,West Stand,Sports Equipment Co.,2015-01-09 0:00,2018-12-17 0:00,271,6512,1303,9,0,9,0
EQ00050,Lighting System,2024-04-23 0:00,2022-09-23 0:00,Good,20751.78,7465,West Stand,Turf Solutions,2015-12-15 0:00,2018-03-09 0:00,310,7428,709,8,0,8,0
EQ00051,Scoreboard,2021-05-13 0:00,2017-11-05 0:00,Good,17601.6,7944,Main Field,Sports Equipment Co.,2019-06-07 0:00,2015-07-13 0:00,328,7869,2492,6,0,8,0
EQ00052,Score Display,2015-09-15 0:00,2020-09-23 0:00,Replaced,38942.96,4838,North Stand,Audio Visual Experts,2015-01-14 0:00,2015-10-02 0:00,199,4775,1439,8,0,9,0
EQ00053,Seats,2023-12-24 0:00,2015-07-29 0:00,Good,47365.23,8358,West Stand,Audio Visual Experts,2018-08-07 0:00,2017-08-07 0:00,343,8243,3322,5,0,9,0
EQ00054,Seats,2019-07-29 0:00,2021-09-09 0:00,Needs Repair,25241.75,3390,Main Field,Sports Equipment Co.,2016-05-04 0:00,2019-10-03 0:00,139,3326,1088,8,1,4,1
EQ00055,Lighting System,2016-01-19 0:00,2020-02-04 0:00,Under Repair,19882.76,5799,West Stand,Lighting Masters,2016-07-28 0:00,2016-11-13 0:00,237,5680,1671,1,0,2,1
EQ00056,Field Marking Equipment,2017-04-28 0:00,2015-03-27 0:00,Replaced,13850.07,5823,West Stand,Field Systems Ltd.,2019-10-22 0:00,2019-07-12 0:00,238,5715,3446,7,0,9,0
EQ00057,Turf Maintenance Machine,2020-01-19 0:00,2018-07-19 0:00,Under Repair,46274.6,9808,North Stand,Sports Equipment Co.,2017-09-19 0:00,2018-12-26 0:00,401,9616,2236,7,0,2,1
EQ00058,Field Marking Equipment,2019-08-09 0:00,2018-02-28 0:00,Under Repair,42136.5,9697,East Stand,Audio Visual Experts,2019-03-08 0:00,2016-07-24 0:00,397,9535,2377,1,0,2,1
EQ00059,Scoreboard,2021-03-11 0:00,2017-10-26 0:00,Replaced,45972.11,2043,West Stand,Audio Visual Experts,2016-02-11 0:00,2017-12-05 0:00,82,1968,2502,2,1,9,0
EQ00060,Score Display,2018-06-27 0:00,2021-09-18 0:00,Under Repair,12606.32,7939,West Stand,Goalkeepers Inc.,2016-09-13 0:00,2018-12-27 0:00,328,7882,1079,4,0,2,1
EQ00061,Goalpost,2016-01-27 0:00,2019-10-14 0:00,Replaced,2279.08,579,South Stand,Field Systems Ltd.,2016-07-16 0:00,2015-12-17 0:00,21,507,1784,7,0,8,0
EQ00062,Goalpost,2020-05-04 0:00,2017-10-11 0:00,Needs Repair,44819.74,8094,East Stand,Lighting Masters,2015-11-26 0:00,2018-02-01 0:00,329,7899,2517,4,0,5,0
EQ00063,Lighting System,2016-03-17 0:00,2019-03-18 0:00,Under Repair,29260.68,7982,North Stand,Audio Visual Experts,2017-08-02 0:00,2016-08-18 0:00,325,7808,1994,4,0,2,1
EQ00064,Score Display,2017-11-15 0:00,2022-08-26 0:00,Under Repair,27501.35,8712,West Stand,Sports Equipment Co.,2018-09-29 0:00,2015-05-25 0:00,360,8631,737,3,0,1,1
EQ00065,Lighting System,2024-08-29 0:00,2021-12-28 0:00,Good,12106.35,1895,North Stand,Lighting Masters,2018-09-27 0:00,2017-09-03 0:00,74,1770,978,5,0,7,0
EQ00066,Turf Maintenance Machine,2019-12-18 0:00,2018-08-31 0:00,Replaced,33743.03,7850,East Stand,Goalkeepers Inc.,2019-02-16 0:00,2016-01-09 0:00,327,7844,2193,2,0,9,0
EQ00067,Seats,2023-08-03 0:00,2016-05-05 0:00,Needs Repair,45142.51,3514,East Stand,Field Systems Ltd.,2017-10-03 0:00,2015-08-09 0:00,144,3444,3041,7,0,4,1
EQ00068,Turnstiles,2019-08-01 0:00,2018-02-23 0:00,Good,13993.26,9339,West Stand,Lighting Masters,2018-11-01 0:00,2018-05-14 0:00,386,9260,2382,4,0,9,0
EQ00069,Field Marking Equipment,2023-12-28 0:00,2022-07-16 0:00,Replaced,47628.7,646,North Stand,Audio Visual Experts,2018-12-06 0:00,2015-09-12 0:00,26,622,778,9,0,8,0
EQ00070,Turf Maintenance Machine,2024-01-26 0:00,2020-07-29 0:00,Good,9217.68,444,North Stand,Turf Solutions,2016-09-23 0:00,2015-07-24 0:00,15,355,1495,9,0,9,0
EQ00071,Seats,2024-08-14 0:00,2024-07-05 0:00,Needs Repair,36611.95,486,West Stand,Goalkeepers Inc.,2015-12-04 0:00,2015-07-11 0:00,17,410,58,2,0,5,0
EQ00072,Audio System,2016-10-27 0:00,2024-02-21 0:00,Good,6701.7,7273,West Stand,Turf Solutions,2015-02-04 0:00,2018-11-23 0:00,302,7240,193,3,0,9,0
EQ00073,Lighting System,2024-06-20 0:00,2017-11-05 0:00,Needs Repair,34047.84,2820,North Stand,Sports Equipment Co.,2018-10-03 0:00,2019-02-08 0:00,117,2799,2492,5,1,5,0
EQ00074,Seats,2015-10-13 0:00,2015-12-10 0:00,Under Repair,7792.07,197,North Stand,Turf Solutions,2016-07-27 0:00,2017-04-10 0:00,0,3,3188,7,0,2,0
EQ00075,Lighting System,2024-04-27 0:00,2020-01-02 0:00,Replaced,33094.62,3797,North Stand,Audio Visual Experts,2015-04-04 0:00,2017-11-15 0:00,152,3659,1704,3,0,9,0
EQ00076,Turf Maintenance Machine,2020-02-12 0:00,2016-04-14 0:00,Under Repair,48805.4,1131,North Stand,Audio Visual Experts,2016-04-16 0:00,2017-03-08 0:00,39,935,3062,1,1,1,1
EQ00077,Field Marking Equipment,2018-10-08 0:00,2019-05-07 0:00,Under Repair,8338.05,7856,Main Field,Lighting Masters,2015-11-30 0:00,2015-03-03 0:00,327,7856,1944,1,0,2,1
EQ00078,Score Display,2023-10-28 0:00,2015-06-22 0:00,Good,2634.55,5636,South Stand,Audio Visual Experts,2015-06-10 0:00,2018-09-28 0:00,229,5499,3359,5,0,7,0
EQ00079,Lighting System,2017-09-10 0:00,2020-08-31 0:00,Good,25666.73,2285,North Stand,Lighting Masters,2016-04-24 0:00,2016-05-01 0:00,89,2137,1462,2,1,8,0
EQ00080,Audio System,2019-09-18 0:00,2018-11-27 0:00,Under Repair,22766.06,475,North Stand,Turf Solutions,2016-08-28 0:00,2015-09-08 0:00,20,471,2105,5,0,1,0
EQ00081,Turnstiles,2019-05-01 0:00,2021-05-03 0:00,Replaced,22881.33,8981,Main Field,Goalkeepers Inc.,2017-03-31 0:00,2019-08-13 0:00,374,8964,1217,5,0,9,0
EQ00082,Seats,2019-09-24 0:00,2016-05-31 0:00,Under Repair,24990.33,1436,South Stand,Lighting Masters,2015-12-13 0:00,2018-01-05 0:00,58,1394,3015,9,0,2,1
EQ00083,Turnstiles,2024-07-19 0:00,2021-02-28 0:00,Under Repair,42340.18,6841,North Stand,Audio Visual Experts,2016-12-17 0:00,2015-01-16 0:00,278,6673,1281,8,1,2,1
EQ00084,Seats,2024-08-23 0:00,2019-07-19 0:00,Under Repair,9384.82,9683,West Stand,Lighting Masters,2019-05-26 0:00,2017-10-15 0:00,399,9583,1871,8,0,2,1
EQ00085,Turnstiles,2016-04-06 0:00,2024-05-10 0:00,Replaced,9639.72,667,East Stand,Sports Equipment Co.,2016-10-06 0:00,2019-09-08 0:00,25,591,114,3,0,9,0
EQ00086,Goalpost,2017-06-15 0:00,2017-08-08 0:00,Good,43632.37,7716,West Stand,Goalkeepers Inc.,2019-08-29 0:00,2017-07-13 0:00,319,7665,2581,1,0,7,0
EQ00087,Audio System,2019-08-06 0:00,2020-04-22 0:00,Replaced,35537.57,47,Main Field,Sports Equipment Co.,2015-10-14 0:00,2016-01-10 0:00,-4,-103,1593,1,0,9,0
EQ00088,Goalpost,2020-12-06 0:00,2020-07-21 0:00,Needs Repair,39504.44,3718,Main Field,Field Systems Ltd.,2015-05-15 0:00,2016-01-21 0:00,151,3620,1503,5,0,5,0
EQ00089,Field Marking Equipment,2020-05-23 0:00,2023-11-04 0:00,Replaced,11897.12,3710,South Stand,Goalkeepers Inc.,2015-08-27 0:00,2015-06-23 0:00,150,3608,302,9,0,9,0
EQ00090,Seats,2019-04-06 0:00,2018-02-27 0:00,Good,7120.45,5043,South Stand,Field Systems Ltd.,2015-03-26 0:00,2015-12-25 0:00,203,4880,2378,4,0,9,0
EQ00091,Scoreboard,2016-11-06 0:00,2023-06-29 0:00,Good,28673.44,3577,South Stand,Goalkeepers Inc.,2019-08-13 0:00,2019-06-15 0:00,147,3528,430,3,0,8,0
EQ00092,Turnstiles,2016-07-26 0:00,2022-12-31 0:00,Replaced,679.06,3516,East Stand,Field Systems Ltd.,2018-03-22 0:00,2019-08-23 0:00,140,3355,610,6,0,8,0
EQ00093,Turf Maintenance Machine,2016-08-30 0:00,2016-02-25 0:00,Good,507,3711,North Stand,Field Systems Ltd.,2017-06-24 0:00,2017-09-17 0:00,151,3614,3111,9,0,9,0
EQ00094,Seats,2023-09-02 0:00,2021-08-16 0:00,Good,36059.27,2709,South Stand,Goalkeepers Inc.,2019-04-21 0:00,2017-11-06 0:00,106,2540,1112,6,0,8,0
EQ00095,Field Marking Equipment,2015-11-26 0:00,2021-12-09 0:00,Needs Repair,12244.18,6260,Main Field,Sports Equipment Co.,2018-11-28 0:00,2017-02-03 0:00,256,6149,997,7,0,4,1
EQ00096,Cameras,2019-12-04 0:00,2021-06-15 0:00,Replaced,5023.32,7592,West Stand,Sports Equipment Co.,2015-01-02 0:00,2015-11-22 0:00,316,7578,1174,4,0,8,0
EQ00097,Scoreboard,2018-09-23 0:00,2015-07-24 0:00,Needs Repair,32924.75,390,North Stand,Goalkeepers Inc.,2015-12-22 0:00,2015-01-09 0:00,15,369,3327,5,0,4,0
EQ00098,Scoreboard,2015-10-26 0:00,2023-12-25 0:00,Needs Repair,31748.82,4852,North Stand,Audio Visual Experts,2019-08-14 0:00,2018-10-25 0:00,201,4825,251,3,0,5,0
EQ00099,Seats,2019-02-21 0:00,2024-02-07 0:00,Replaced,33926.83,8917,North Stand,Field Systems Ltd.,2017-07-28 0:00,2016-02-18 0:00,367,8800,207,6,0,9,0
EQ00100,Goalpost,2015-12-06 0:00,2019-08-21 0:00,Under Repair,10366.94,819,Main Field,Sports Equipment Co.,2018-10-11 0:00,2019-06-08 0:00,28,671,1838,3,1,1,1
EQ00101,Lighting System,2016-04-27 0:00,2020-02-06 0:00,Replaced,3678.35,677,South Stand,Lighting Masters,2016-03-05 0:00,2017-05-09 0:00,25,602,1669,6,0,8,0
EQ00102,Field Marking Equipment,2017-01-19 0:00,2024-04-05 0:00,Good,32717.97,1418,South Stand,Sports Equipment Co.,2015-02-16 0:00,2016-09-11 0:00,55,1318,149,1,0,8,0
EQ00103,Turf Maintenance Machine,2024-02-08 0:00,2017-10-30 0:00,Replaced,1584.74,2872,Main Field,Goalkeepers Inc.,2017-07-01 0:00,2018-06-22 0:00,115,2750,2498,9,0,8,0
EQ00104,Field Marking Equipment,2016-08-05 0:00,2016-01-16 0:00,Needs Repair,42543.84,5513,Main Field,Goalkeepers Inc.,2016-03-14 0:00,2017-07-10 0:00,228,5467,3151,7,0,4,1
EQ00105,Lighting System,2017-03-17 0:00,2020-08-10 0:00,Replaced,15211.77,7148,West Stand,Field Systems Ltd.,2019-11-10 0:00,2018-03-13 0:00,298,7146,1483,7,0,8,0
EQ00106,Seats,2016-12-11 0:00,2023-10-03 0:00,Replaced,3469.35,760,East Stand,Field Systems Ltd.,2017-11-23 0:00,2016-02-23 0:00,26,628,334,2,0,8,0
EQ00107,Audio System,2019-10-30 0:00,2019-01-09 0:00,Under Repair,24349.16,2044,Main Field,Goalkeepers Inc.,2016-04-29 0:00,2017-08-29 0:00,79,1899,2062,3,0,1,1
EQ00108,Score Display,2018-04-25 0:00,2017-11-16 0:00,Needs Repair,40178.81,7875,Main Field,Sports Equipment Co.,2018-10-04 0:00,2016-04-07 0:00,320,7678,2481,1,0,5,0
EQ00109,Field Marking Equipment,2019-12-31 0:00,2023-05-20 0:00,Needs Repair,43164.94,2210,South Stand,Field Systems Ltd.,2017-06-22 0:00,2016-05-02 0:00,86,2075,470,4,0,4,1
EQ00110,Field Marking Equipment,2016-03-07 0:00,2018-09-05 0:00,Good,9159.66,8724,South Stand,Turf Solutions,2017-11-05 0:00,2015-07-14 0:00,361,8659,2188,5,0,8,0
EQ00111,Scoreboard,2023-11-26 0:00,2018-04-03 0:00,Replaced,42847.78,3802,South Stand,Goalkeepers Inc.,2018-04-19 0:00,2017-05-02 0:00,152,3639,2343,6,0,8,0
EQ00112,Seats,2019-08-29 0:00,2022-08-30 0:00,Replaced,5983.65,1829,North Stand,Turf Solutions,2018-12-18 0:00,2016-10-17 0:00,69,1659,733,9,0,9,0
EQ00113,Goalpost,2015-12-16 0:00,2015-04-07 0:00,Under Repair,3417.51,1190,South Stand,Field Systems Ltd.,2019-03-24 0:00,2019-11-23 0:00,49,1183,3435,6,0,1,1
EQ00114,Turnstiles,2015-05-03 0:00,2024-08-27 0:00,Good,29237.73,8626,West Stand,Goalkeepers Inc.,2015-05-16 0:00,2018-10-02 0:00,354,8505,5,8,0,7,0
EQ00115,Scoreboard,2021-05-27 0:00,2021-11-19 0:00,Under Repair,48812.54,3463,South Stand,Sports Equipment Co.,2017-01-04 0:00,2016-01-19 0:00,144,3462,1017,9,0,1,1
EQ00116,Lighting System,2021-10-05 0:00,2022-05-23 0:00,Needs Repair,34792.83,4953,North Stand,Lighting Masters,2018-01-05 0:00,2017-05-11 0:00,205,4929,832,7,1,4,1
EQ00117,Audio System,2018-09-30 0:00,2016-11-23 0:00,Replaced,42201.81,2600,North Stand,Turf Solutions,2018-04-02 0:00,2016-08-21 0:00,107,2559,2839,8,0,9,0
EQ00118,Turf Maintenance Machine,2019-10-04 0:00,2024-05-24 0:00,Good,25137.33,3676,West Stand,Sports Equipment Co.,2018-01-26 0:00,2016-09-28 0:00,151,3622,100,4,0,7,0
EQ00119,Audio System,2021-07-22 0:00,2019-01-04 0:00,Good,49273.84,6999,Main Field,Field Systems Ltd.,2016-01-13 0:00,2019-06-19 0:00,290,6952,2067,6,0,8,0
EQ00120,Audio System,2022-04-12 0:00,2017-09-28 0:00,Good,34551.89,7941,East Stand,Sports Equipment Co.,2017-03-20 0:00,2015-02-20 0:00,325,7788,2530,4,0,8,0
EQ00121,Score Display,2016-09-29 0:00,2016-06-20 0:00,Replaced,25771.13,6003,East Stand,Sports Equipment Co.,2018-07-06 0:00,2018-04-16 0:00,248,5951,2995,3,0,8,0
EQ00122,Lighting System,2016-12-20 0:00,2017-03-04 0:00,Replaced,41721.63,3638,North Stand,Lighting Masters,2016-05-03 0:00,2018-03-11 0:00,150,3600,2738,8,0,9,0
EQ00123,Turnstiles,2020-06-27 0:00,2021-03-18 0:00,Needs Repair,9167.9,5793,Main Field,Lighting Masters,2015-04-20 0:00,2018-05-24 0:00,240,5766,1263,7,0,5,0
EQ00124,Lighting System,2018-03-17 0:00,2024-07-01 0:00,Needs Repair,35163.19,3018,Main Field,Lighting Masters,2017-02-26 0:00,2017-05-31 0:00,125,3001,62,4,0,5,0
EQ00125,Cameras,2023-01-24 0:00,2021-01-13 0:00,Replaced,42568.56,9916,South Stand,Turf Solutions,2015-05-14 0:00,2015-07-07 0:00,412,9879,1327,5,0,8,0
EQ00126,Turf Maintenance Machine,2021-06-09 0:00,2022-09-26 0:00,Needs Repair,45546.18,762,North Stand,Turf Solutions,2016-12-13 0:00,2017-04-21 0:00,27,650,706,1,0,5,0
EQ00127,Turf Maintenance Machine,2020-03-27 0:00,2020-06-30 0:00,Needs Repair,6745.05,5142,South Stand,Goalkeepers Inc.,2019-03-22 0:00,2018-02-16 0:00,210,5043,1524,9,0,5,0
EQ00128,Scoreboard,2021-03-04 0:00,2018-03-24 0:00,Under Repair,37890.79,6919,East Stand,Audio Visual Experts,2016-05-15 0:00,2019-11-14 0:00,281,6735,2353,3,0,1,1
EQ00129,Lighting System,2019-04-23 0:00,2024-01-27 0:00,Under Repair,17748.64,5218,West Stand,Turf Solutions,2016-03-19 0:00,2016-06-15 0:00,213,5100,218,7,0,1,1
EQ00130,Field Marking Equipment,2022-12-05 0:00,2015-03-18 0:00,Good,36330.28,7667,South Stand,Sports Equipment Co.,2017-08-14 0:00,2015-02-15 0:00,316,7591,3455,7,0,7,0
EQ00131,Field Marking Equipment,2016-12-27 0:00,2019-05-22 0:00,Good,10125.96,3332,South Stand,Sports Equipment Co.,2015-01-22 0:00,2018-09-27 0:00,134,3226,1929,3,1,9,0
EQ00132,Goalpost,2024-04-14 0:00,2015-03-03 0:00,Needs Repair,32587.96,7963,North Stand,Sports Equipment Co.,2018-03-21 0:00,2015-02-24 0:00,329,7888,3470,3,0,5,0
EQ00133,Score Display,2022-03-14 0:00,2021-07-28 0:00,Replaced,46165.07,1930,South Stand,Audio Visual Experts,2018-04-27 0:00,2018-06-29 0:00,78,1874,1131,2,0,8,0
EQ00134,Goalpost,2017-02-01 0:00,2019-04-24 0:00,Needs Repair,17913.23,1180,East Stand,Lighting Masters,2017-07-24 0:00,2018-12-15 0:00,44,1055,1957,6,0,5,0
EQ00135,Audio System,2023-03-05 0:00,2020-01-09 0:00,Replaced,49907.21,8143,West Stand,Audio Visual Experts,2016-09-10 0:00,2018-01-03 0:00,333,7984,1697,7,0,9,0
EQ00136,Audio System,2020-02-20 0:00,2015-08-08 0:00,Good,43114.17,5292,West Stand,Field Systems Ltd.,2019-06-24 0:00,2016-04-05 0:00,216,5195,3312,5,0,7,0
